,Sector,Year,FDI(₹ Crores),FDI(US$ Million)
274,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2004-05,57.65,12.83
275,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2004-05,63.49,14.13
276,MEDICAL AND SURGICAL APPLIANCES,2004-05,24.04,5.35
277,INDUSTRIAL INSTRUMENTS,2004-05,4.85,1.08
278,SCIENTIFIC INSTRUMENTS,2004-05,0.13,0.03
279,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2004-05,0.0,0.0
280,FERTILIZERS,2004-05,60.48,13.46
281,CHEMICALS (OTHER THAN FERTILIZERS),2004-05,311.77,69.39
282,PHOTOGRAPHIC RAW FILM AND PAPER,2004-05,27.68,6.16
283,DYE-STUFFS,2004-05,5.3,1.18
284,DRUGS & PHARMACEUTICALS,2004-05,1318.07,293.36
285,"TEXTILES (INCLUDING DYED,PRINTED)",2004-05,193.38,43.04
286,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2004-05,12.13,2.7
287,SUGAR,2004-05,13.21,2.94
288,FERMENTATION INDUSTRIES,2004-05,624.53,139.0
289,FOOD PROCESSING INDUSTRIES,2004-05,197.6,43.98
290,VEGETABLE OILS AND VANASPATI,2004-05,40.84,9.09
291,"SOAPS, COSMETICS & TOILET PREPARATIONS",2004-05,4.0,0.89
292,RUBBER GOODS,2004-05,179.99,40.06
293,"LEATHER,LEATHER GOODS AND PICKERS",2004-05,1.98,0.44
294,GLUE AND GELATIN,2004-05,0.0,0.0
295,GLASS,2004-05,37.56,8.36
296,CERAMICS,2004-05,120.37,26.79
297,CEMENT AND GYPSUM PRODUCTS,2004-05,0.72,0.16
298,TIMBER PRODUCTS,2004-05,0.31,0.07
299,DEFENCE INDUSTRIES,2004-05,0.22,0.05
300,CONSULTANCY SERVICES,2004-05,1134.12,252.42
301,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2004-05,2049.48,456.15
302,HOSPITAL & DIAGNOSTIC CENTRES,2004-05,117.67,26.19
303,EDUCATION,2004-05,8.85,1.97
304,HOTEL & TOURISM,2004-05,166.29,37.01
305,TRADING,2004-05,63.89,14.22
306,RETAIL TRADING,2004-05,0.0,0.0
307,AGRICULTURE SERVICES,2004-05,17.21,3.83
308,"DIAMOND,GOLD ORNAMENTS",2004-05,38.55,8.58
309,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2004-05,0.04,0.01
310,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2004-05,0.27,0.06
311,COIR,2004-05,2.11,0.47
312,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2004-05,0.0,0.0
313,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2004-05,683.21,152.06
314,MISCELLANEOUS INDUSTRIES,2004-05,547.38,121.83
315,METALLURGICAL INDUSTRIES,2005-06,660.2,149.13
316,MINING,2005-06,32.76,7.4
317,POWER,2005-06,321.8,72.69
318,NON-CONVENTIONAL ENERGY,2005-06,5.98,1.35
319,COAL PRODUCTION,2005-06,40.46,9.14
320,PETROLEUM & NATURAL GAS,2005-06,53.52,12.09
321,BOILERS AND STEAM GENERATING PLANTS,2005-06,0.0,0.0
322,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2005-06,3.28,0.74
323,ELECTRICAL EQUIPMENTS,2005-06,174.87,39.5
324,COMPUTER SOFTWARE & HARDWARE,2005-06,6020.59,1359.97
325,ELECTRONICS,2005-06,181.11,40.91
326,TELECOMMUNICATIONS,2005-06,2735.8,617.98
327,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2005-06,247.6,55.93
328,AUTOMOBILE INDUSTRY,2005-06,619.47,139.93
329,AIR TRANSPORT (INCLUDING AIR FREIGHT),2005-06,45.47,10.27
330,SEA TRANSPORT,2005-06,237.42,53.63
331,PORTS,2005-06,2.21,0.5
332,RAILWAY RELATED COMPONENTS,2005-06,100.14,22.62
333,INDUSTRIAL MACHINERY,2005-06,189.48,42.8
334,MACHINE TOOLS,2005-06,101.82,23.0
335,AGRICULTURAL MACHINERY,2005-06,410.43,92.71
336,EARTH-MOVING MACHINERY,2005-06,225.2,50.87
337,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2005-06,226.75,51.22
338,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2005-06,113.07,25.54
339,MEDICAL AND SURGICAL APPLIANCES,2005-06,6.73,1.52
340,INDUSTRIAL INSTRUMENTS,2005-06,1.68,0.38
341,SCIENTIFIC INSTRUMENTS,2005-06,0.44,0.1
342,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2005-06,0.0,0.0
343,FERTILIZERS,2005-06,18.77,4.24
344,CHEMICALS (OTHER THAN FERTILIZERS),2005-06,1716.44,387.72
345,PHOTOGRAPHIC RAW FILM AND PAPER,2005-06,0.0,0.0
346,DYE-STUFFS,2005-06,0.0,0.0
347,DRUGS & PHARMACEUTICALS,2005-06,763.39,172.44
348,"TEXTILES (INCLUDING DYED,PRINTED)",2005-06,417.6,94.33
349,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2005-06,121.21,27.38
350,SUGAR,2005-06,13.28,3.0
351,FERMENTATION INDUSTRIES,2005-06,751.84,169.83
352,FOOD PROCESSING INDUSTRIES,2005-06,184.78,41.74
353,VEGETABLE OILS AND VANASPATI,2005-06,54.5,12.31
354,"SOAPS, COSMETICS & TOILET PREPARATIONS",2005-06,387.01,87.42
355,RUBBER GOODS,2005-06,150.92,34.09
356,"LEATHER,LEATHER GOODS AND PICKERS",2005-06,4.91,1.11
357,GLUE AND GELATIN,2005-06,0.0,0.0
358,GLASS,2005-06,3.59,0.81
359,CERAMICS,2005-06,25.1,5.67
360,CEMENT AND GYPSUM PRODUCTS,2005-06,2001.36,452.08
361,TIMBER PRODUCTS,2005-06,1.46,0.33
362,DEFENCE INDUSTRIES,2005-06,0.0,0.0
363,CONSULTANCY SERVICES,2005-06,209.84,47.4
364,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2005-06,2428.7,548.61
365,HOSPITAL & DIAGNOSTIC CENTRES,2005-06,144.01,32.53
366,EDUCATION,2005-06,13.99,3.16
367,HOTEL & TOURISM,2005-06,317.77,71.78
368,TRADING,2005-06,128.07,28.93
369,RETAIL TRADING,2005-06,0.0,0.0
370,AGRICULTURE SERVICES,2005-06,40.2,9.08
371,"DIAMOND,GOLD ORNAMENTS",2005-06,68.71,15.52
372,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2005-06,6.33,1.43
373,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2005-06,43.83,9.9
